x,y,z,illuminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.541196642067572498e+01
0.000000000000000000e+00,5.555555555555555802e-01,0.000000000000000000e+00,4.338866604658204551e+01
0.000000000000000000e+00,1.111111111111111160e+00,0.000000000000000000e+00,5.080695454938170741e+01
0.000000000000000000e+00,1.666666666666666741e+00,0.000000000000000000e+00,5.571103009622418512e+01
0.000000000000000000e+00,2.222222222222222321e+00,0.000000000000000000e+00,5.639958261912450155e+01
0.000000000000000000e+00,2.777777777777777679e+00,0.000000000000000000e+00,5.266480681403210440e+01
0.000000000000000000e+00,3.333333333333333481e+00,0.000000000000000000e+00,4.595314537611308481e+01
0.000000000000000000e+00,3.888888888888889284e+00,0.000000000000000000e+00,3.824104204372409299e+01
0.000000000000000000e+00,4.444444444444444642e+00,0.000000000000000000e+00,3.096978333859391341e+01
0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,2.479348761324673944e+01
8.888888888888888395e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.906040778171407624e+01
8.888888888888888395e-01,5.555555555555555802e-01,0.000000000000000000e+00,6.339475899277276483e+01
8.888888888888888395e-01,1.111111111111111160e+00,0.000000000000000000e+00,7.807533644199334333e+01
8.888888888888888395e-01,1.666666666666666741e+00,0.000000000000000000e+00,8.863684975409248068e+01
8.888888888888888395e-01,2.222222222222222321e+00,0.000000000000000000e+00,9.011884087016790090e+01
8.888888888888888395e-01,2.777777777777777679e+00,0.000000000000000000e+00,8.185754044965869980e+01
8.888888888888888395e-01,3.333333333333333481e+00,0.000000000000000000e+00,6.825303053861061642e+01
8.888888888888888395e-01,3.888888888888889284e+00,0.000000000000000000e+00,5.408218002104688082e+01
8.888888888888888395e-01,4.444444444444444642e+00,0.000000000000000000e+00,4.189234406025866519e+01
8.888888888888888395e-01,5.000000000000000000e+00,0.000000000000000000e+00,3.231342951764244731e+01
1.777777777777777679e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.922166456707866899e+01
1.777777777777777679e+00,5.555555555555555802e-01,0.000000000000000000e+00,7.904616904910018604e+01
1.777777777777777679e+00,1.111111111111111160e+00,0.000000000000000000e+00,1.010440819422179146e+02
1.777777777777777679e+00,1.666666666666666741e+00,0.000000000000000000e+00,1.194148812663501076e+02
1.777777777777777679e+00,2.222222222222222321e+00,0.000000000000000000e+00,1.225539128826404749e+02
1.777777777777777679e+00,2.777777777777777679e+00,0.000000000000000000e+00,1.076239532296220602e+02
1.777777777777777679e+00,3.333333333333333481e+00,0.000000000000000000e+00,8.704989095004151523e+01
1.777777777777777679e+00,3.888888888888889284e+00,0.000000000000000000e+00,6.731314001693216653e+01
1.777777777777777679e+00,4.444444444444444642e+00,0.000000000000000000e+00,5.118032325484516321e+01
1.777777777777777679e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.891629939921037362e+01
2.666666666666666519e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000802609905282736e+01
2.666666666666666519e+00,5.555555555555555802e-01,0.000000000000000000e+00,7.908344120202498573e+01
2.666666666666666519e+00,1.111111111111111160e+00,0.000000000000000000e+00,9.964390000798455560e+01
2.666666666666666519e+00,1.666666666666666741e+00,0.000000000000000000e+00,1.158048982610736459e+02
2.666666666666666519e+00,2.222222222222222321e+00,0.000000000000000000e+00,1.192989416459673180e+02
2.666666666666666519e+00,2.777777777777777679e+00,0.000000000000000000e+00,1.085544146679364133e+02
2.666666666666666519e+00,3.333333333333333481e+00,0.000000000000000000e+00,9.080884488166394419e+01
2.666666666666666519e+00,3.888888888888889284e+00,0.000000000000000000e+00,7.241071817202519867e+01
2.666666666666666519e+00,4.444444444444444642e+00,0.000000000000000000e+00,5.642052428459570024e+01
2.666666666666666519e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.359496363550770326e+01
3.555555555555555358e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.400408577652055442e+01
3.555555555555555358e+00,5.555555555555555802e-01,0.000000000000000000e+00,6.884310846700191178e+01
3.555555555555555358e+00,1.111111111111111160e+00,0.000000000000000000e+00,8.411762484121813088e+01
3.555555555555555358e+00,1.666666666666666741e+00,0.000000000000000000e+00,9.628646547128070665e+01
3.555555555555555358e+00,2.222222222222222321e+00,0.000000000000000000e+00,1.014783712334625534e+02
3.555555555555555358e+00,2.777777777777777679e+00,0.000000000000000000e+00,9.817405123200488504e+01
3.555555555555555358e+00,3.333333333333333481e+00,0.000000000000000000e+00,8.813361122742576015e+01
3.555555555555555358e+00,3.888888888888889284e+00,0.000000000000000000e+00,7.463454593276864557e+01
3.555555555555555358e+00,4.444444444444444642e+00,0.000000000000000000e+00,6.060687069223277490e+01
3.555555555555555358e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.789621738699116094e+01
4.444444444444444642e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.789621738699116094e+01
4.444444444444444642e+00,5.555555555555555802e-01,0.000000000000000000e+00,6.060687069223277490e+01
4.444444444444444642e+00,1.111111111111111160e+00,0.000000000000000000e+00,7.463454593276865978e+01
4.444444444444444642e+00,1.666666666666666741e+00,0.000000000000000000e+00,8.813361122742576015e+01
4.444444444444444642e+00,2.222222222222222321e+00,0.000000000000000000e+00,9.817405123200488504e+01
4.444444444444444642e+00,2.777777777777777679e+00,0.000000000000000000e+00,1.014783712334625534e+02
4.444444444444444642e+00,3.333333333333333481e+00,0.000000000000000000e+00,9.628646547128070665e+01
4.444444444444444642e+00,3.888888888888889284e+00,0.000000000000000000e+00,8.411762484121810246e+01
4.444444444444444642e+00,4.444444444444444642e+00,0.000000000000000000e+00,6.884310846700191178e+01
